,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
3537,Manhattan,6000,14,17,High,359
30824,Manhattan,2990,2,69,High,237
32041,Manhattan,2500,3,14,High,150
2018,Manhattan,2500,30,15,High,89
24286,Manhattan,2500,40,17,High,0
4127,Manhattan,2300,3,32,High,139
22407,Manhattan,2250,2,20,High,341
21955,Manhattan,2250,2,21,High,343
8915,Manhattan,2000,1,18,High,365
7477,Brooklyn,2000,40,28,High,0
496,Manhattan,2000,30,30,High,0
1480,Manhattan,2000,30,59,High,364
3306,Manhattan,1999,1,20,High,0
2523,Manhattan,1899,7,18,High,0
24993,Manhattan,1795,1,38,High,116
13724,Manhattan,1731,10,84,High,97
32003,Manhattan,1500,3,15,High,54
35695,Manhattan,1500,4,17,High,32
6277,Manhattan,1500,30,24,High,358
8727,Manhattan,1495,1,11,High,0
5499,Manhattan,1400,90,31,High,88
2236,Brooklyn,1395,1,55,High,362
762,Manhattan,1300,5,28,High,297
40412,Manhattan,1299,2,15,High,273
34117,Manhattan,1250,4,21,High,125
31954,Manhattan,1200,5,13,High,347
20219,Manhattan,1200,1,36,High,354
7846,Manhattan,1200,5,43,High,309
31866,Manhattan,1195,3,27,High,40
10431,Manhattan,1195,3,109,High,264
26443,Manhattan,1177,3,42,High,284
2772,Manhattan,1100,2,17,High,364
14574,Manhattan,1100,2,20,High,268
26781,Manhattan,1100,30,34,High,333
25064,Brooklyn,1095,2,24,High,240
23411,Brooklyn,1067,2,64,High,32
5801,Brooklyn,1050,3,121,High,327
19803,Manhattan,1020,1,12,High,365
35920,Manhattan,1000,4,16,High,66
19236,Manhattan,1000,30,17,High,365
15107,Manhattan,1000,4,19,High,349
15837,Manhattan,1000,2,23,High,240
2355,Manhattan,1000,30,24,High,364
15833,Manhattan,1000,2,24,High,274
2215,Manhattan,1000,1,25,High,37
8530,Manhattan,1000,30,27,High,364
5861,Manhattan,1000,3,38,High,270
1414,Manhattan,1000,30,44,High,364
30916,Manhattan,1000,3,55,High,37
6501,Manhattan,1000,2,95,High,353
15091,Manhattan,999,3,11,High,164
36712,Manhattan,999,1,12,High,213
1899,Manhattan,999,10,30,High,365
15154,Manhattan,999,2,54,High,58
14629,Brooklyn,999,2,94,High,361
10520,Brooklyn,999,2,141,High,67
21220,Manhattan,995,4,20,High,290
7088,Brooklyn,995,2,43,High,328
5956,Brooklyn,985,2,20,High,19
43130,Manhattan,950,3,11,High,251
19905,Brooklyn,950,4,19,High,323
2155,Manhattan,950,3,28,High,357
23624,Manhattan,950,3,36,High,237
4482,Manhattan,950,3,42,High,34
45031,Manhattan,945,2,11,High,264
8522,Manhattan,900,3,13,High,24
9035,Manhattan,900,7,28,High,340
11560,Manhattan,899,6,52,High,287
6397,Manhattan,895,1,66,High,365
2040,Brooklyn,890,3,26,High,341
8805,Manhattan,888,2,42,High,35
5351,Manhattan,860,4,39,High,365
32938,Manhattan,850,5,11,High,45
28150,Manhattan,850,2,14,High,36
28141,Manhattan,850,1,16,High,174
36536,Manhattan,850,1,24,High,269
29994,Manhattan,850,3,27,High,344
19183,Manhattan,850,3,32,High,262
662,Manhattan,850,3,107,High,249
9211,Manhattan,850,1,177,High,268
35415,Manhattan,848,1,19,High,355
7356,Manhattan,825,5,28,High,290
14243,Manhattan,814,3,31,High,353
38920,Manhattan,805,4,19,High,168
28199,Manhattan,800,1,11,High,0
36571,Manhattan,800,2,12,High,220
43653,Manhattan,800,3,13,High,84
22069,Manhattan,800,1,19,High,0
10212,Manhattan,800,30,22,High,266
85,Brooklyn,800,1,25,High,7
25318,Brooklyn,800,30,29,High,0
12801,Brooklyn,800,3,33,High,178
1910,Brooklyn,800,1,34,High,365
35809,Manhattan,800,2,36,High,90
21241,Brooklyn,800,1,43,High,55
15015,Manhattan,800,3,59,High,263
1201,Brooklyn,800,3,60,High,67
780,Brooklyn,800,4,122,High,257
12844,Manhattan,799,3,16,High,365
3055,Manhattan,799,6,40,High,365
31944,Manhattan,795,3,21,High,16
7017,Manhattan,795,4,22,High,249
18412,Manhattan,795,4,26,High,340
26451,Manhattan,790,2,42,High,36
24632,Brooklyn,789,2,51,High,175
4719,Manhattan,785,2,85,High,331
26786,Manhattan,766,30,13,High,352
34036,Brooklyn,750,1,12,High,364
43146,Brooklyn,750,4,13,High,179
8055,Brooklyn,750,1,15,High,364
4818,Manhattan,750,3,16,High,365
31101,Manhattan,750,4,19,High,151
3240,Brooklyn,750,3,32,High,141
18975,Manhattan,750,30,42,High,281
7430,Manhattan,750,1,50,High,345
12788,Manhattan,750,3,97,High,47
42759,Manhattan,700,5,11,High,282
43491,Manhattan,700,3,11,High,249
24494,Manhattan,700,4,12,High,124
26379,Manhattan,700,3,14,High,258
20025,Manhattan,700,10,15,High,302
17218,Manhattan,700,2,18,High,0
34203,Manhattan,700,4,19,High,134
18170,Manhattan,700,5,23,High,179
37136,Manhattan,700,1,29,High,256
10725,Manhattan,700,2,31,High,54
37678,Manhattan,700,4,46,High,126
14392,Manhattan,700,5,87,High,266
653,Manhattan,700,3,131,High,296
34339,Manhattan,699,3,19,High,204
32151,Manhattan,699,3,37,High,170
6107,Manhattan,699,6,186,High,254
37828,Manhattan,692,1,33,High,256
14544,Brooklyn,690,1,91,High,169
34758,Brooklyn,689,2,18,High,340
18582,Manhattan,672,2,23,High,268
31097,Manhattan,650,4,11,High,164
9546,Manhattan,650,6,14,High,90
42047,Brooklyn,650,1,22,High,307
28239,Manhattan,650,5,23,High,301
9520,Manhattan,650,2,24,High,23
3825,Manhattan,650,2,30,High,0
21481,Manhattan,650,3,35,High,179
2296,Manhattan,650,30,36,High,256
31669,Manhattan,650,2,41,High,126
14951,Manhattan,650,5,42,High,335
4292,Manhattan,650,2,67,High,283
11913,Manhattan,650,3,130,High,235
3233,Brooklyn,650,2,166,High,215
19138,Manhattan,649,2,13,High,365
39961,Manhattan,649,2,17,High,281
31046,Manhattan,649,3,38,High,199
14827,Manhattan,625,5,12,High,130
37108,Manhattan,625,4,26,High,321
30965,Manhattan,620,4,38,High,309
25413,Manhattan,615,4,42,High,117
22854,Manhattan,615,5,46,High,282
41523,Manhattan,612,1,15,High,91
23646,Brooklyn,600,5,11,High,64
9454,Brooklyn,600,5,12,High,174
30776,Brooklyn,600,3,14,High,167
19259,Manhattan,600,4,16,High,96
6670,Brooklyn,600,2,20,High,283
27817,Manhattan,600,1,20,High,169
34498,Brooklyn,600,2,23,High,328
16351,Manhattan,600,5,24,High,336
35222,Brooklyn,600,3,24,High,139
29713,Brooklyn,600,2,26,High,253
8700,Brooklyn,600,4,28,High,295
14556,Manhattan,600,5,28,High,338
31858,Brooklyn,600,1,29,High,162
35673,Manhattan,600,2,33,High,280
25321,Manhattan,600,2,41,High,174
32211,Manhattan,600,2,44,High,134
3135,Manhattan,600,3,46,High,210
2857,Brooklyn,600,1,48,High,89
30923,Manhattan,600,5,70,High,6
4925,Manhattan,600,3,73,High,282
21423,Manhattan,600,1,86,High,261
21658,Manhattan,600,2,93,High,251
21439,Manhattan,600,1,106,High,286
40495,Manhattan,599,4,11,High,140
36942,Manhattan,599,2,25,High,244
31687,Brooklyn,599,2,34,High,0
4048,Brooklyn,595,4,22,High,0
9679,Manhattan,595,2,30,High,332
14973,Manhattan,595,5,51,High,347
1451,Manhattan,595,5,59,High,169
2484,Manhattan,595,3,106,High,247
35649,Manhattan,590,2,42,High,42
26956,Brooklyn,585,1,27,High,229
18948,Manhattan,584,5,89,High,179
23551,Manhattan,578,5,70,High,240
1650,Brooklyn,575,3,12,High,0
16079,Brooklyn,575,3,33,High,259
35865,Manhattan,575,2,40,High,46
299,Manhattan,575,2,191,High,298
2163,Manhattan,575,1,447,High,207
2997,Manhattan,555,3,111,High,191
39471,Manhattan,550,2,12,High,126
2811,Manhattan,550,4,17,High,201
2299,Brooklyn,550,3,21,High,1
4034,Brooklyn,550,1,24,High,0
38215,Manhattan,550,2,30,High,72
22445,Brooklyn,550,2,32,High,248
37777,Manhattan,550,3,50,High,199
14263,Manhattan,550,1,57,High,267
27204,Manhattan,550,4,87,High,295
29389,Brooklyn,550,2,92,High,90
12571,Manhattan,550,1,141,High,302
1527,Brooklyn,550,4,173,High,258
6960,Manhattan,549,4,17,High,6
953,Manhattan,549,30,58,High,200
21469,Manhattan,545,5,42,High,322
29521,Manhattan,545,2,47,High,269
5458,Manhattan,540,3,20,High,350
26905,Manhattan,540,2,53,High,215
44299,Manhattan,539,1,13,High,233
12193,Brooklyn,531,1,119,High,353
12213,Brooklyn,525,4,11,High,159
26771,Manhattan,525,1,21,High,292
34555,Manhattan,525,1,25,High,203
6492,Brooklyn,525,6,28,High,365
17044,Brooklyn,525,1,36,High,189
3134,Manhattan,525,5,42,High,80
26218,Manhattan,525,2,47,High,34
15398,Manhattan,525,5,49,High,314
7390,Manhattan,524,3,57,High,115
41696,Manhattan,515,2,31,High,163
7108,Manhattan,510,3,12,High,364
3866,Brooklyn,500,1,11,High,365
5774,Brooklyn,500,7,11,High,173
9375,Manhattan,500,3,11,High,2
45497,Manhattan,500,3,11,High,318
46095,Manhattan,500,1,11,High,180
27671,Manhattan,500,2,12,High,85
21697,Manhattan,500,1,13,High,361
36197,Manhattan,500,2,14,High,272
46937,Manhattan,500,3,14,High,45
32597,Brooklyn,500,3,16,High,160
41870,Manhattan,500,5,16,High,298
4956,Brooklyn,500,3,19,High,365
500,Brooklyn,500,2,20,High,127
20225,Manhattan,500,3,21,High,365
13838,Manhattan,500,5,24,High,321
25120,Manhattan,500,7,26,High,214
5503,Manhattan,500,1,27,High,90
4537,Brooklyn,500,1,28,High,365
6874,Brooklyn,500,6,29,High,89
39390,Brooklyn,500,3,32,High,0
242,Manhattan,500,2,35,High,348
9236,Manhattan,500,3,36,High,85
10234,Brooklyn,500,2,39,High,330
33663,Manhattan,500,5,39,High,114
24941,Manhattan,500,6,40,High,276
32485,Manhattan,500,10,41,High,126
10200,Manhattan,500,7,44,High,365
103,Manhattan,500,4,46,High,243
304,Manhattan,500,2,48,High,297
4815,Brooklyn,500,2,48,High,365
14288,Manhattan,500,4,49,High,249
1019,Brooklyn,500,1,54,High,365
11249,Manhattan,500,3,55,High,46
30172,Manhattan,500,3,56,High,163
1273,Manhattan,500,2,63,High,79
7386,Brooklyn,500,1,68,High,313
14987,Manhattan,500,4,72,High,330
3885,Brooklyn,500,3,74,High,364
233,Manhattan,500,4,94,High,329
13671,Brooklyn,500,30,96,High,339
13494,Brooklyn,500,2,111,High,88
4941,Brooklyn,500,1,138,High,282
1362,Brooklyn,500,2,250,High,307
7850,Manhattan,499,30,11,High,332
32578,Manhattan,499,3,11,High,55
19127,Manhattan,499,3,12,High,365
29213,Manhattan,499,14,14,High,298
38077,Manhattan,499,2,14,High,236
39667,Manhattan,499,2,15,High,297
25823,Manhattan,499,2,16,High,240
39807,Manhattan,499,1,18,High,356
7907,Manhattan,499,1,19,High,296
29211,Manhattan,499,14,23,High,1
32765,Manhattan,499,3,26,High,0
35259,Manhattan,499,2,28,High,233
37118,Manhattan,499,5,28,High,145
8792,Manhattan,499,3,35,High,223
33208,Manhattan,499,4,41,High,10
2199,Manhattan,499,5,47,High,341
1161,Manhattan,499,2,63,High,26
893,Manhattan,499,30,64,High,157
19681,Manhattan,499,4,69,High,280
18456,Manhattan,499,30,70,High,0
18031,Manhattan,499,1,116,High,30
2369,Brooklyn,499,2,126,High,256
2217,Manhattan,499,6,127,High,303
9733,Manhattan,499,3,149,High,201
25944,Brooklyn,496,3,20,High,313
29910,Manhattan,495,6,12,High,52
4843,Brooklyn,495,3,15,High,198
40925,Manhattan,495,2,15,High,156
689,Manhattan,495,7,25,High,338
1576,Manhattan,495,3,29,High,22
418,Brooklyn,495,1,35,High,355
25632,Manhattan,495,1,43,High,343
35234,Brooklyn,495,4,46,High,194
17420,Manhattan,495,3,52,High,285
1896,Manhattan,495,2,66,High,334
7256,Brooklyn,495,2,95,High,285
6116,Manhattan,495,30,159,High,129
29434,Manhattan,490,14,14,High,365
33746,Manhattan,490,2,15,High,179
21430,Manhattan,489,3,81,High,152
41638,Manhattan,488,3,14,High,76
28327,Manhattan,487,4,50,High,198
726,Manhattan,485,7,11,High,0
13290,Manhattan,485,3,14,High,54
28221,Manhattan,485,5,45,High,203
22164,Manhattan,484,2,107,High,46
35330,Brooklyn,480,1,11,High,63
3310,Manhattan,480,10,59,High,24
15928,Manhattan,480,5,106,High,263
30382,Manhattan,479,1,52,High,3
40202,Manhattan,478,3,25,High,148
158,Brooklyn,475,3,23,High,230
26690,Brooklyn,475,1,29,High,123
7515,Manhattan,475,2,57,High,141
41388,Manhattan,472,2,12,High,234
41445,Manhattan,468,2,11,High,267
2542,Manhattan,465,30,11,High,273
33556,Manhattan,465,2,31,High,142
11925,Manhattan,465,3,46,High,325
1787,Manhattan,465,30,47,High,277
12076,Manhattan,465,3,74,High,62
8898,Manhattan,460,4,11,High,0
35318,Manhattan,460,2,11,High,27
32520,Brooklyn,460,1,30,High,63
33881,Brooklyn,460,1,33,High,113
21266,Manhattan,459,1,61,High,173
28382,Manhattan,455,30,26,High,332
3078,Manhattan,455,30,93,High,332
41401,Manhattan,454,2,11,High,297
38772,Manhattan,453,1,16,High,113
41430,Manhattan,451,2,15,High,254
430,Brooklyn,451,2,72,High,331
1243,Brooklyn,450,2,11,High,0
24058,Brooklyn,450,4,11,High,2
3322,Manhattan,450,3,12,High,0
4569,Brooklyn,450,2,12,High,13
6249,Manhattan,450,3,12,High,0
7706,Brooklyn,450,6,12,High,2
12458,Manhattan,450,3,12,High,3
19191,Manhattan,450,30,12,High,165
29166,Manhattan,450,3,12,High,83
39877,Brooklyn,450,1,12,High,334
41175,Manhattan,450,1,12,High,325
29433,Manhattan,450,14,13,High,365
3198,Brooklyn,450,30,14,High,1
16980,Brooklyn,450,7,14,High,360
32364,Manhattan,450,3,14,High,36
10907,Manhattan,450,6,15,High,364
19674,Brooklyn,450,5,15,High,60
30368,Manhattan,450,30,16,High,145
15381,Brooklyn,450,365,17,High,365
3221,Manhattan,450,2,18,High,363
29866,Brooklyn,450,2,27,High,364
1130,Brooklyn,450,2,31,High,30
23800,Brooklyn,450,2,31,High,22
9605,Brooklyn,450,2,34,High,337
34689,Manhattan,450,3,34,High,80
10121,Manhattan,450,3,35,High,264
460,Brooklyn,450,5,37,High,15
7827,Manhattan,450,5,37,High,108
31361,Manhattan,450,3,38,High,302
16637,Manhattan,450,2,41,High,0
15072,Manhattan,450,1,45,High,287
9494,Manhattan,450,2,48,High,188
15990,Manhattan,450,31,56,High,341
6396,Manhattan,450,5,81,High,303
2638,Brooklyn,450,3,82,High,258
17691,Manhattan,450,2,110,High,287
7464,Brooklyn,450,5,137,High,226
16792,Manhattan,450,2,139,High,221
813,Manhattan,450,20,157,High,0
9422,Manhattan,450,4,206,High,1
35779,Manhattan,449,3,23,High,326
33312,Brooklyn,449,3,33,High,329
19440,Brooklyn,449,2,78,High,347
39584,Brooklyn,444,1,15,High,326
38972,Manhattan,443,1,28,High,293
39751,Manhattan,443,1,30,High,165
43258,Manhattan,442,1,12,High,253
8717,Brooklyn,440,4,23,High,7
2973,Manhattan,439,5,79,High,154
637,Brooklyn,438,1,43,High,363
1435,Manhattan,433,5,108,High,318
39546,Manhattan,432,1,20,High,325
4241,Manhattan,430,1,24,High,14
501,Manhattan,429,10,18,High,0
22197,Manhattan,429,2,119,High,288
12705,Manhattan,425,2,23,High,54
4139,Manhattan,425,3,24,High,365
23863,Brooklyn,425,4,38,High,262
32383,Manhattan,425,3,50,High,106
13369,Manhattan,425,2,59,High,39
2237,Manhattan,425,2,68,High,358
10206,Manhattan,425,4,68,High,36
11067,Manhattan,425,2,95,High,0
27988,Manhattan,425,1,127,High,253
26066,Manhattan,422,5,58,High,339
43717,Manhattan,420,5,14,High,137
39740,Manhattan,420,2,20,High,76
3084,Manhattan,420,1,53,High,250
2148,Manhattan,420,3,182,High,301
2844,Manhattan,420,2,285,High,294
38577,Manhattan,418,1,16,High,328
41343,Brooklyn,418,2,20,High,153
29478,Manhattan,416,4,37,High,244
31616,Manhattan,415,4,43,High,71
18802,Manhattan,415,2,57,High,22
41415,Manhattan,412,2,13,High,341
31057,Manhattan,412,30,54,High,227
31056,Manhattan,412,1,69,High,133
31058,Manhattan,412,30,69,High,234
32355,Manhattan,410,31,40,High,10
30298,Manhattan,409,3,52,High,106
25508,Manhattan,409,1,87,High,40
19283,Brooklyn,408,3,88,High,267
18149,Manhattan,407,30,12,High,120
41411,Manhattan,404,2,15,High,310
770,Brooklyn,402,3,89,High,340
16083,Brooklyn,400,3,11,High,6
45107,Manhattan,400,5,11,High,125
19931,Manhattan,400,4,12,High,26
42576,Brooklyn,400,2,13,High,278
37906,Manhattan,400,3,14,High,0
10400,Manhattan,400,1,15,High,6
10428,Manhattan,400,3,15,High,0
12284,Manhattan,400,5,15,High,78
40577,Manhattan,400,5,15,High,148
121,Brooklyn,400,2,16,High,216
31572,Manhattan,400,1,16,High,47
19756,Manhattan,400,1,17,High,364
20306,Manhattan,400,3,17,High,334
28453,Manhattan,400,3,17,High,37
39928,Manhattan,400,4,17,High,0
3977,Manhattan,400,1,18,High,30
3004,Manhattan,400,7,19,High,46
25626,Brooklyn,400,3,19,High,97
30600,Manhattan,400,2,19,High,166
42217,Manhattan,400,2,19,High,95
27610,Manhattan,400,3,21,High,0
4252,Brooklyn,400,30,22,High,171
27870,Brooklyn,400,1,23,High,77
35889,Brooklyn,400,3,25,High,30
20591,Manhattan,400,2,26,High,10
23828,Manhattan,400,4,26,High,128
2095,Brooklyn,400,30,30,High,67
29104,Manhattan,400,3,32,High,69
3455,Brooklyn,400,5,34,High,333
4614,Brooklyn,400,6,34,High,1
38288,Manhattan,400,4,39,High,265
3090,Manhattan,400,2,40,High,190
13841,Manhattan,400,6,40,High,105
6613,Manhattan,400,3,42,High,363
27927,Brooklyn,400,3,42,High,46
28061,Manhattan,400,4,42,High,306
23030,Brooklyn,400,1,44,High,77
1658,Manhattan,400,3,46,High,175
23534,Brooklyn,400,1,49,High,77
26875,Brooklyn,400,1,50,High,329
31719,Manhattan,400,2,66,High,164
7504,Manhattan,400,2,101,High,258
16226,Manhattan,400,7,103,High,344
494,Manhattan,400,2,105,High,304
19190,Brooklyn,400,30,118,High,265
5127,Brooklyn,400,2,120,High,300
11844,Manhattan,400,3,124,High,245
14053,Manhattan,400,3,124,High,261
9514,Brooklyn,399,3,11,High,18
3265,Brooklyn,399,30,13,High,363
35926,Manhattan,399,3,13,High,229
1281,Manhattan,399,3,15,High,0
8731,Manhattan,399,4,15,High,5
38521,Manhattan,399,6,15,High,47
37761,Manhattan,399,1,18,High,248
29282,Brooklyn,399,3,19,High,272
31038,Manhattan,399,2,20,High,78
39987,Manhattan,399,5,21,High,118
8291,Manhattan,399,1,28,High,354
15924,Manhattan,399,180,29,High,0
36415,Manhattan,399,5,29,High,76
37454,Manhattan,399,2,29,High,234
20682,Brooklyn,399,3,31,High,290
3180,Manhattan,399,5,33,High,36
37298,Manhattan,399,1,36,High,201
8637,Manhattan,399,3,38,High,311
13489,Brooklyn,399,4,39,High,29
28447,Brooklyn,399,1,42,High,308
29906,Manhattan,399,4,43,High,161
23754,Manhattan,399,3,44,High,112
4930,Brooklyn,399,3,49,High,269
21222,Manhattan,399,3,51,High,336
15594,Manhattan,399,4,55,High,237
32341,Manhattan,399,4,58,High,158
16074,Manhattan,399,2,80,High,212
4004,Manhattan,399,1,87,High,267
1560,Manhattan,399,7,104,High,42
2537,Manhattan,399,3,108,High,351
6331,Manhattan,399,2,122,High,109
12652,Brooklyn,399,3,129,High,237
2052,Manhattan,399,2,287,High,284
32613,Manhattan,398,2,32,High,139
42799,Manhattan,396,1,15,High,317
43243,Manhattan,395,2,11,High,247
8461,Brooklyn,395,5,16,High,67
5130,Brooklyn,395,3,20,High,9
5647,Brooklyn,395,4,33,High,158
3404,Manhattan,395,5,37,High,350
1058,Manhattan,395,14,39,High,50
22240,Manhattan,395,1,39,High,177
14190,Manhattan,395,2,57,High,279
10526,Brooklyn,395,3,60,High,17
395,Manhattan,395,2,70,High,170
5803,Manhattan,395,4,73,High,2
35257,Manhattan,394,2,19,High,68
32965,Manhattan,393,1,11,High,300
39156,Brooklyn,392,1,18,High,318
38979,Brooklyn,392,1,19,High,337
14313,Brooklyn,390,4,14,High,13
44197,Manhattan,390,1,21,High,299
32210,Manhattan,390,3,72,High,79
3022,Manhattan,390,5,108,High,156
19241,Brooklyn,390,1,131,High,321
263,Manhattan,390,5,143,High,316
8879,Brooklyn,389,3,18,High,0
24194,Brooklyn,389,1,107,High,80
25140,Brooklyn,389,1,107,High,64
42637,Manhattan,388,3,13,High,246
916,Manhattan,387,1,23,High,0
4320,Manhattan,385,5,44,High,180
799,Manhattan,385,1,63,High,364
1159,Brooklyn,385,1,66,High,363
21798,Brooklyn,385,2,76,High,209
5582,Manhattan,383,3,24,High,251
3716,Manhattan,380,3,11,High,43
20954,Brooklyn,380,3,11,High,22
39748,Manhattan,380,2,12,High,0
41467,Manhattan,380,2,12,High,302
1129,Manhattan,380,3,16,High,0
27738,Brooklyn,380,4,18,High,8
2882,Manhattan,380,6,29,High,365
1529,Brooklyn,380,4,62,High,170
14717,Brooklyn,380,3,75,High,290
5736,Brooklyn,380,3,105,High,264
26672,Brooklyn,380,1,128,High,173
41604,Manhattan,379,2,11,High,252
34882,Manhattan,379,2,31,High,238
8462,Manhattan,379,7,45,High,364
27398,Manhattan,379,4,63,High,238
3557,Manhattan,379,2,96,High,0
30485,Brooklyn,378,3,13,High,25
26726,Manhattan,378,1,72,High,52
41406,Manhattan,377,2,15,High,273
15597,Manhattan,376,28,53,High,310
5922,Manhattan,375,3,13,High,0
32424,Brooklyn,375,2,13,High,158
19923,Manhattan,375,2,14,High,335
24101,Brooklyn,375,2,14,High,75
8309,Manhattan,375,2,15,High,365
19171,Manhattan,375,1,16,High,110
419,Manhattan,375,3,18,High,0
1225,Brooklyn,375,5,19,High,43
10451,Manhattan,375,3,19,High,0
30741,Manhattan,375,2,22,High,77
12064,Brooklyn,375,1,23,High,364
6955,Manhattan,375,14,26,High,147
20817,Manhattan,375,2,30,High,38
1594,Manhattan,375,2,33,High,346
18503,Manhattan,375,1,34,High,7
29596,Manhattan,375,4,35,High,79
19348,Manhattan,375,2,40,High,285
8592,Brooklyn,375,3,46,High,217
16709,Manhattan,375,3,50,High,351
22330,Manhattan,375,3,76,High,301
11947,Manhattan,375,1,110,High,134
30558,Manhattan,374,3,11,High,3
10185,Manhattan,374,30,16,High,363
10952,Manhattan,374,1,31,High,188
12816,Manhattan,372,3,23,High,17
39913,Manhattan,370,3,20,High,155
26249,Brooklyn,370,5,23,High,171
9897,Brooklyn,370,2,132,High,257
29054,Manhattan,365,1,13,High,65
29984,Manhattan,365,5,14,High,50
40210,Manhattan,365,2,19,High,28
4971,Manhattan,365,2,62,High,28
19664,Brooklyn,365,5,77,High,112
12863,Manhattan,365,6,100,High,257
11133,Brooklyn,360,3,12,High,261
10898,Manhattan,360,1,13,High,188
43814,Manhattan,360,2,13,High,251
16975,Manhattan,360,2,22,High,333
21238,Manhattan,360,5,23,High,3
39159,Brooklyn,360,2,26,High,21
6061,Manhattan,360,3,28,High,128
9715,Brooklyn,360,6,34,High,76
36224,Manhattan,359,2,19,High,252
39083,Manhattan,359,1,36,High,175
15336,Manhattan,359,1,96,High,309
15411,Manhattan,359,1,126,High,318
27363,Brooklyn,358,3,57,High,182
35996,Manhattan,355,2,13,High,308
21553,Manhattan,355,5,14,High,89
1494,Brooklyn,355,5,19,High,301
9380,Manhattan,355,3,42,High,116
23875,Manhattan,352,4,15,High,13
4424,Brooklyn,350,3,11,High,21
7959,Brooklyn,350,5,11,High,12
27293,Manhattan,350,1,11,High,80
32370,Manhattan,350,3,11,High,88
32550,Manhattan,350,2,11,High,0
39693,Manhattan,350,30,11,High,275
2142,Brooklyn,350,5,12,High,0
4427,Manhattan,350,2,12,High,0
17449,Manhattan,350,3,12,High,301
31436,Brooklyn,350,1,12,High,89
1711,Manhattan,350,2,13,High,0
1759,Manhattan,350,6,13,High,0
5112,Manhattan,350,2,13,High,0
6984,Manhattan,350,3,13,High,69
324,Brooklyn,350,6,14,High,156
2913,Manhattan,350,30,14,High,327
28056,Manhattan,350,3,14,High,89
28191,Brooklyn,350,2,14,High,353
8304,Brooklyn,350,3,15,High,0
22258,Manhattan,350,3,15,High,0
29885,Manhattan,350,3,15,High,5
35594,Brooklyn,350,2,15,High,319
18146,Manhattan,350,2,16,High,16
22902,Manhattan,350,3,16,High,352
27969,Brooklyn,350,2,16,High,0
20448,Brooklyn,350,3,17,High,129
38210,Manhattan,350,3,17,High,33
39701,Manhattan,350,4,17,High,23
11432,Brooklyn,350,4,18,High,0
43138,Manhattan,350,1,18,High,82
19156,Brooklyn,350,2,19,High,179
19612,Brooklyn,350,1,19,High,244
33004,Manhattan,350,2,19,High,163
22473,Manhattan,350,6,20,High,25
27636,Manhattan,350,14,21,High,181
19732,Brooklyn,350,2,22,High,21
28222,Brooklyn,350,2,22,High,132
2461,Brooklyn,350,2,23,High,188
35336,Brooklyn,350,1,23,High,334
920,Manhattan,350,4,24,High,362
18251,Manhattan,350,5,24,High,137
34462,Manhattan,350,2,24,High,242
40534,Manhattan,350,1,25,High,0
2507,Manhattan,350,3,27,High,22
21791,Brooklyn,350,3,27,High,303
39523,Manhattan,350,1,27,High,95
23315,Manhattan,350,3,28,High,76
26835,Brooklyn,350,7,29,High,284
36552,Manhattan,350,2,29,High,65
26981,Manhattan,350,5,31,High,166
32096,Brooklyn,350,4,32,High,69
36237,Manhattan,350,2,32,High,284
39598,Manhattan,350,2,32,High,198
20483,Manhattan,350,4,33,High,346
8548,Manhattan,350,2,34,High,0
17177,Brooklyn,350,2,34,High,344
25572,Manhattan,350,2,34,High,10
33337,Manhattan,350,5,36,High,124
35021,Manhattan,350,2,38,High,267
626,Brooklyn,350,5,40,High,67
2174,Brooklyn,350,3,41,High,22
35655,Manhattan,350,3,41,High,74
28554,Brooklyn,350,3,42,High,275
16721,Manhattan,350,3,46,High,297
40659,Manhattan,350,1,46,High,342
12256,Manhattan,350,4,47,High,283
2641,Manhattan,350,3,53,High,87
14334,Brooklyn,350,5,54,High,274
24407,Brooklyn,350,2,55,High,281
9536,Brooklyn,350,3,58,High,81
31282,Manhattan,350,2,60,High,148
32013,Manhattan,350,2,60,High,224
742,Manhattan,350,3,64,High,18
32663,Manhattan,350,2,69,High,291
23845,Brooklyn,350,1,70,High,142
7833,Brooklyn,350,2,71,High,287
10525,Manhattan,350,3,74,High,247
23819,Manhattan,350,3,81,High,27
20722,Brooklyn,350,1,82,High,152
18952,Manhattan,350,3,85,High,175
21267,Manhattan,350,3,85,High,208
22684,Manhattan,350,1,96,High,253
16135,Manhattan,350,6,97,High,236
23260,Manhattan,350,1,105,High,0
15350,Manhattan,350,6,124,High,247
1205,Brooklyn,350,2,134,High,56
1630,Manhattan,350,1,237,High,0
39236,Brooklyn,349,2,15,High,349
1895,Manhattan,349,3,17,High,356
4806,Manhattan,349,5,19,High,358
29199,Brooklyn,349,2,19,High,363
23670,Manhattan,349,4,24,High,264
17233,Manhattan,349,3,29,High,0
9360,Manhattan,349,3,31,High,157
35115,Manhattan,349,4,32,High,255
18192,Manhattan,349,3,38,High,72
14455,Brooklyn,349,2,42,High,337
22925,Brooklyn,349,2,52,High,361
1459,Manhattan,349,3,58,High,341
20849,Manhattan,349,3,76,High,71
1195,Brooklyn,349,1,169,High,344
1202,Brooklyn,349,2,320,High,260
32943,Brooklyn,347,4,22,High,70
6898,Manhattan,346,198,163,High,0
33767,Manhattan,345,3,12,High,37
19500,Brooklyn,345,3,13,High,9
